Order_ID,Order_Date,Ship_Date,Ship_Mode,Country,City,State,Postal_Code,Region
CA-2013-152156,2013-11-09,2013-11-12,Second Class,United States,Henderson,Kentucky,42420,South
CA-2013-152156,2013-11-09,2013-11-12,Second Class,United States,Henderson,Kentucky,42420,South
CA-2013-138688,2013-06-13,2013-06-17,Second Class,United States,Los Angeles,California,90036,West
US-2012-108966,2012-10-11,2012-10-18,Standard Class,United States,Fort Lauderdale,Florida,33311,South
US-2012-108966,2012-10-11,2012-10-18,Standard Class,United States,Fort Lauderdale,Florida,33311,South
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,United States,Los Angeles,California,90032,West
CA-2014-114412,2014-04-16,2014-04-21,Standard Class,United States,Concord,North Carolina,28027,South
CA-2013-161389,2013-12-06,2013-12-11,Standard Class,United States,Seattle,Washington,98103,West
US-2012-118983,2012-11-22,2012-11-26,Standard Class,United States,Fort Worth,Texas,76106,Central
US-2012-118983,2012-11-22,2012-11-26,Standard Class,United States,Fort Worth,Texas,76106,Central
CA-2011-105893,2011-11-11,2011-11-18,Standard Class,United States,Madison,Wisconsin,53711,Central
CA-2011-167164,2011-05-13,2011-05-15,Second Class,United States,West Jordan,Utah,84084,West
CA-2011-143336,2011-08-27,2011-09-01,Second Class,United States,San Francisco,California,94109,West
CA-2011-143336,2011-08-27,2011-09-01,Second Class,United States,San Francisco,California,94109,West
CA-2011-143336,2011-08-27,2011-09-01,Second Class,United States,San Francisco,California,94109,West
CA-2013-137330,2013-12-10,2013-12-14,Standard Class,United States,Fremont,Nebraska,68025,Central
CA-2013-137330,2013-12-10,2013-12-14,Standard Class,United States,Fremont,Nebraska,68025,Central
US-2014-156909,2014-07-17,2014-07-19,Second Class,United States,Philadelphia,Pennsylvania,19140,East
CA-2012-106320,2012-09-25,2012-09-30,Standard Class,United States,Orem,Utah,84057,West
CA-2013-121755,2013-01-16,2013-01-20,Second Class,United States,Los Angeles,California,90049,West
CA-2013-121755,2013-01-16,2013-01-20,Second Class,United States,Los Angeles,California,90049,West
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
US-2012-150630,2012-09-17,2012-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East
CA-2014-107727,2014-10-20,2014-10-24,Second Class,United States,Houston,Texas,77095,Central
CA-2013-117590,2013-12-09,2013-12-11,First Class,United States,Richardson,Texas,75080,Central
CA-2013-117590,2013-12-09,2013-12-11,First Class,United States,Richardson,Texas,75080,Central
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,United States,Houston,Texas,77041,Central
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,United States,Houston,Texas,77041,Central
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,United States,Houston,Texas,77041,Central
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,United States,Houston,Texas,77041,Central
CA-2014-120999,2014-09-11,2014-09-16,Standard Class,United States,Naperville,Illinois,60540,Central
CA-2013-101343,2013-07-18,2013-07-23,Standard Class,United States,Los Angeles,California,90049,West
CA-2014-139619,2014-09-20,2014-09-24,Standard Class,United States,Melbourne,Florida,32935,South
CA-2013-118255,2013-03-12,2013-03-14,First Class,United States,Eagan,Minnesota,55122,Central
CA-2013-118255,2013-03-12,2013-03-14,First Class,United States,Eagan,Minnesota,55122,Central
CA-2011-146703,2011-10-20,2011-10-25,Second Class,United States,Westland,Michigan,48185,Central
CA-2013-169194,2013-06-21,2013-06-26,Standard Class,United States,Dover,Delaware,19901,East
CA-2013-169194,2013-06-21,2013-06-26,Standard Class,United States,Dover,Delaware,19901,East
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,United States,New Albany,Indiana,47150,Central
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,United States,New Albany,Indiana,47150,Central
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,United States,New Albany,Indiana,47150,Central
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,United States,New Albany,Indiana,47150,Central
CA-2013-105816,2013-12-12,2013-12-18,Standard Class,United States,New York City,New York,10024,East
CA-2013-105816,2013-12-12,2013-12-18,Standard Class,United States,New York City,New York,10024,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2013-111682,2013-06-18,2013-06-19,First Class,United States,Troy,New York,12180,East
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,United States,Los Angeles,California,90004,West
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,United States,Los Angeles,California,90004,West
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,United States,Los Angeles,California,90004,West
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,United States,Los Angeles,California,90004,West
US-2012-164175,2012-04-30,2012-05-05,Standard Class,United States,Chicago,Illinois,60610,Central
CA-2011-106376,2011-12-05,2011-12-10,Standard Class,United States,Gilbert,Arizona,85234,West
CA-2011-106376,2011-12-05,2011-12-10,Standard Class,United States,Gilbert,Arizona,85234,West
CA-2013-119823,2013-06-05,2013-06-07,First Class,United States,Springfield,Virginia,22153,South
CA-2013-106075,2013-09-19,2013-09-24,Standard Class,United States,New York City,New York,10009,East
CA-2014-114440,2014-09-15,2014-09-18,Second Class,United States,Jackson,Michigan,49201,Central
US-2012-134026,2012-04-26,2012-05-02,Standard Class,United States,Memphis,Tennessee,38109,South
US-2012-134026,2012-04-26,2012-05-02,Standard Class,United States,Memphis,Tennessee,38109,South
US-2012-134026,2012-04-26,2012-05-02,Standard Class,United States,Memphis,Tennessee,38109,South
US-2014-118038,2014-12-10,2014-12-12,First Class,United States,Houston,Texas,77041,Central
US-2014-118038,2014-12-10,2014-12-12,First Class,United States,Houston,Texas,77041,Central
