Order_ID,ProdPrice,Quantity,Discount,Profit
CA-2013-152156,261.96,2,0,41.9136
CA-2013-152156,731.94,3,0,219.582
CA-2013-138688,14.62,2,0,6.8714
US-2012-108966,957.5775,5,0.45,-383.031
US-2012-108966,22.368,2,0.2,2.5164
CA-2011-115812,48.86,7,0,14.1694
CA-2011-115812,7.28,4,0,1.9656
CA-2011-115812,907.152,6,0.2,90.7152
CA-2011-115812,18.504,3,0.2,5.7825
CA-2011-115812,114.9,5,0,34.47
CA-2011-115812,1706.184,9,0.2,85.3092
CA-2011-115812,911.424,4,0.2,68.3568
CA-2014-114412,15.552,3,0.2,5.4432
CA-2013-161389,407.976,3,0.2,132.5922
US-2012-118983,68.81,5,0.8,-123.858
US-2012-118983,2.544,3,0.8,-3.816
CA-2011-105893,665.88,6,0,13.3176
CA-2011-167164,55.5,2,0,9.99
CA-2011-143336,8.56,2,0,2.4824
CA-2011-143336,213.48,3,0.2,16.011
CA-2011-143336,22.72,4,0.2,7.384
CA-2013-137330,19.46,7,0,5.0596
CA-2013-137330,60.34,7,0,15.6884
US-2014-156909,71.372,2,0.3,-1.0196
CA-2012-106320,1044.63,3,0,240.2649
CA-2013-121755,11.648,2,0.2,4.2224
CA-2013-121755,90.57,3,0,11.7741
US-2012-150630,3083.43,7,0.5,-1665.0522
US-2012-150630,9.618,2,0.7,-7.0532
US-2012-150630,124.2,3,0.2,15.525
US-2012-150630,3.264,2,0.2,1.1016
US-2012-150630,86.304,6,0.2,9.7092
US-2012-150630,6.858,6,0.7,-5.715
US-2012-150630,15.76,2,0.2,3.546
CA-2014-107727,29.472,3,0.2,9.9468
CA-2013-117590,1097.544,7,0.2,123.4737
CA-2013-117590,190.92,5,0.6,-147.963
CA-2012-117415,113.328,9,0.2,35.415
CA-2012-117415,532.3992,3,0.32,-46.9764
CA-2012-117415,212.058,3,0.3,-15.147
CA-2012-117415,371.168,4,0.2,41.7564
CA-2014-120999,147.168,4,0.2,16.5564
CA-2013-101343,77.88,2,0,3.894
CA-2014-139619,95.616,2,0.2,9.5616
CA-2013-118255,45.98,2,0,19.7714
CA-2013-118255,17.46,2,0,8.2062
CA-2011-146703,211.96,4,0,8.4784
CA-2013-169194,45,3,0,4.95
CA-2013-169194,21.8,2,0,6.104
CA-2012-115742,38.22,6,0,17.9634
CA-2012-115742,75.18,6,0,35.3346
CA-2012-115742,6.16,2,0,2.9568
CA-2012-115742,89.99,1,0,17.0981
CA-2013-105816,15.26,7,0,6.2566
CA-2013-105816,1029.95,5,0,298.6855
CA-2013-111682,208.56,6,0,52.14
CA-2013-111682,32.4,5,0,15.552
CA-2013-111682,319.41,5,0.1,7.098
CA-2013-111682,14.56,2,0,6.9888
CA-2013-111682,30,2,0,3.3
CA-2013-111682,48.48,4,0.2,16.362
CA-2013-111682,1.68,1,0,0.84
CA-2012-135545,13.98,2,0,6.1512
CA-2012-135545,25.824,6,0.2,9.3612
CA-2012-135545,146.73,3,0,68.9631
CA-2012-135545,79.76,4,0,22.3328
US-2012-164175,213.115,5,0.3,-15.2225
CA-2011-106376,1113.024,8,0.2,111.3024
CA-2011-106376,167.968,4,0.2,62.988
CA-2013-119823,75.88,2,0,35.6636
CA-2013-106075,4.616,1,0.2,1.731
CA-2014-114440,19.05,3,0,8.763
US-2012-134026,831.936,8,0.2,-114.3912
US-2012-134026,97.04,2,0.2,1.213
US-2012-134026,72.784,1,0.2,-18.196
US-2014-118038,1.248,3,0.8,-1.9344
US-2014-118038,9.708,3,0.6,-5.8248
US-2014-118038,27.24,3,0.2,2.724
US-2011-147606,19.3,5,0.6,-14.475
CA-2013-127208,208.16,1,0,56.2032
CA-2013-127208,16.74,3,0,8.0352
CA-2011-139451,14.9,5,0,4.172
CA-2011-139451,21.39,1,0,6.2031
CA-2012-149734,200.984,7,0.2,62.8075
US-2014-119662,230.376,3,0.2,-48.9549
CA-2014-140088,301.96,2,0,33.2156
CA-2014-155558,19.99,1,0,6.7966
CA-2014-155558,6.16,2,0,2.9568
CA-2013-159695,158.368,7,0.2,13.8572
CA-2013-109806,20.1,3,0,6.633
CA-2013-109806,73.584,2,0.2,8.2782
CA-2013-109806,6.48,1,0,3.1104
CA-2012-149587,12.96,2,0,6.2208
CA-2012-149587,53.34,3,0,16.5354
CA-2012-149587,32.96,2,0,16.1504
US-2014-109484,5.682,1,0.7,-3.788
CA-2014-161018,96.53,7,0,40.5426
CA-2014-157833,51.312,3,0.2,17.9592
CA-2013-149223,77.88,6,0,22.5852
CA-2013-158568,64.624,7,0.2,22.6184
CA-2013-158568,95.976,3,0.2,-10.7973
CA-2013-158568,1.788,3,0.8,-3.0396
CA-2013-129903,23.92,4,0,11.7208
US-2012-156867,238.896,6,0.2,-26.8758
US-2012-156867,102.36,3,0.2,-3.8385
US-2012-156867,36.882,3,0.7,-25.8174
CA-2014-119004,74.112,8,0.2,17.6016
CA-2014-119004,27.992,1,0.2,2.0994
CA-2014-119004,3.304,1,0.2,1.0738
CA-2012-129476,339.96,5,0.2,67.992
CA-2014-146780,41.96,2,0,10.9096
CA-2013-128867,75.96,2,0,22.788
CA-2013-128867,27.24,6,0,13.3476
CA-2011-115259,40.096,14,0.2,14.5348
